 input parameter from : input/param_16.in                                                                                                               
r0, slope_xi:    1.000   1.850
v_inflow, r_inflow, slope_v12:  180.000   1.000   1.850
v_outflow, r_outflow:    0.000   1.000
s12_0:  200.000
r_eq, betaN:    0.010   1.450
  178     3.5500E+00     1.2679E+00     1.3624E-34
  179     3.5700E+00     1.2750E+00     1.3276E-34
  180     3.5900E+00     1.2821E+00     1.2936E-34
  181     3.6100E+00     1.2893E+00     1.2605E-34
  182     3.6300E+00     1.2964E+00     1.2283E-34
  183     3.6500E+00     1.3036E+00     1.1968E-34
  184     3.6700E+00     1.3107E+00     1.1661E-34
  185     3.6900E+00     1.3179E+00     1.1363E-34
  186     3.7100E+00     1.3250E+00     1.1071E-34
  187     3.7300E+00     1.3321E+00     1.0787E-34
  188     3.7500E+00     1.3393E+00     1.0510E-34
  189     3.7700E+00     1.3464E+00     1.0240E-34
  190     3.7900E+00     1.3536E+00     9.9772E-35
  191     3.8100E+00     1.3607E+00     9.7207E-35
  192     3.8300E+00     1.3679E+00     9.4706E-35
  193     3.8500E+00     1.3750E+00     9.2269E-35
  194     3.8700E+00     1.3821E+00     8.9892E-35
  195     3.8900E+00     1.3893E+00     8.7575E-35
  196     3.9100E+00     1.3964E+00     8.5317E-35
  197     3.9300E+00     1.4036E+00     8.3115E-35
  198     3.9500E+00     1.4107E+00     8.0968E-35
  199     3.9700E+00     1.4179E+00     7.8876E-35
  200     3.9900E+00     1.4250E+00     7.6836E-35
  201     4.0100E+00     1.4321E+00     7.4848E-35
  202     4.0300E+00     1.4393E+00     7.2909E-35
  203     4.0500E+00     1.4464E+00     7.1020E-35
  204     4.0700E+00     1.4536E+00     6.9178E-35
  205     4.0900E+00     1.4607E+00     6.7382E-35
  206     4.1100E+00     1.4679E+00     6.5632E-35
  207     4.1300E+00     1.4750E+00     6.3926E-35
  208     4.1500E+00     1.4821E+00     6.2263E-35
  209     4.1700E+00     1.4893E+00     6.0641E-35
  210     4.1900E+00     1.4964E+00     5.9061E-35
  211     4.2100E+00     1.5036E+00     5.7521E-35
  212     4.2300E+00     1.5107E+00     5.6020E-35
  213     4.2500E+00     1.5179E+00     5.4557E-35
  214     4.2700E+00     1.5250E+00     5.3131E-35
  215     4.2900E+00     1.5321E+00     5.1741E-35
  216     4.3100E+00     1.5393E+00     5.0386E-35
  217     4.3300E+00     1.5464E+00     4.9066E-35
  218     4.3500E+00     1.5536E+00     4.7779E-35
  219     4.3700E+00     1.5607E+00     4.6525E-35
  220     4.3900E+00     1.5679E+00     4.5303E-35
  221     4.4100E+00     1.5750E+00     4.4112E-35
  222     4.4300E+00     1.5821E+00     4.2952E-35
  223     4.4500E+00     1.5893E+00     4.1821E-35
  224     4.4700E+00     1.5964E+00     4.0719E-35
  225     4.4900E+00     1.6036E+00     3.9645E-35
  226     4.5100E+00     1.6107E+00     3.8599E-35
  227     4.5300E+00     1.6179E+00     3.7579E-35
  228     4.5500E+00     1.6250E+00     3.6586E-35
  229     4.5700E+00     1.6321E+00     3.5618E-35
  230     4.5900E+00     1.6393E+00     3.4675E-35
  231     4.6100E+00     1.6464E+00     3.3756E-35
  232     4.6300E+00     1.6536E+00     3.2861E-35
  233     4.6500E+00     1.6607E+00     3.1989E-35
  234     4.6700E+00     1.6679E+00     3.1140E-35
  235     4.6900E+00     1.6750E+00     3.0312E-35
  236     4.7100E+00     1.6821E+00     2.9506E-35
  237     4.7300E+00     1.6893E+00     2.8721E-35
  238     4.7500E+00     1.6964E+00     2.7956E-35
  239     4.7700E+00     1.7036E+00     2.7211E-35
  240     4.7900E+00     1.7107E+00     2.6486E-35
  241     4.8100E+00     1.7179E+00     2.5779E-35
  242     4.8300E+00     1.7250E+00     2.5090E-35
  243     4.8500E+00     1.7321E+00     2.4420E-35
  244     4.8700E+00     1.7393E+00     2.3767E-35
  245     4.8900E+00     1.7464E+00     2.3131E-35
  246     4.9100E+00     1.7536E+00     2.2512E-35
  247     4.9300E+00     1.7607E+00     2.1909E-35
  248     4.9500E+00     1.7679E+00     2.1322E-35
  249     4.9700E+00     1.7750E+00     2.0751E-35
  250     4.9900E+00     1.7821E+00     2.0194E-35
  251     5.0100E+00     1.7893E+00     1.9652E-35
  252     5.0300E+00     1.7964E+00     1.9125E-35
  253     5.0500E+00     1.8036E+00     1.8611E-35
  254     5.0700E+00     1.8107E+00     1.8111E-35
  255     5.0900E+00     1.8179E+00     1.7624E-35
  256     5.1100E+00     1.8250E+00     1.7150E-35
  257     5.1300E+00     1.8321E+00     1.6689E-35
  258     5.1500E+00     1.8393E+00     1.6240E-35
  259     5.1700E+00     1.8464E+00     1.5802E-35
  260     5.1900E+00     1.8536E+00     1.5377E-35
  261     5.2100E+00     1.8607E+00     1.4963E-35
  262     5.2300E+00     1.8679E+00     1.4560E-35
  263     5.2500E+00     1.8750E+00     1.4168E-35
  264     5.2700E+00     1.8821E+00     1.3786E-35
  265     5.2900E+00     1.8893E+00     1.3414E-35
  266     5.3100E+00     1.8964E+00     1.3053E-35
  267     5.3300E+00     1.9036E+00     1.2701E-35
  268     5.3500E+00     1.9107E+00     1.2359E-35
  269     5.3700E+00     1.9179E+00     1.2026E-35
  270     5.3900E+00     1.9250E+00     1.1701E-35
  271     5.4100E+00     1.9321E+00     1.1386E-35
  272     5.4300E+00     1.9393E+00     1.1079E-35
  273     5.4500E+00     1.9464E+00     1.0781E-35
  274     5.4700E+00     1.9536E+00     1.0491E-35
  275     5.4900E+00     1.9607E+00     1.0208E-35
  276     5.5100E+00     1.9679E+00     9.9332E-36
  277     5.5300E+00     1.9750E+00     9.6659E-36
  278     5.5500E+00     1.9821E+00     9.4059E-36
  279     5.5700E+00     1.9893E+00     9.1532E-36
  280     5.5900E+00     1.9964E+00     8.9072E-36
  281     5.6100E+00     2.0036E+00     8.6680E-36
  282     5.6300E+00     2.0107E+00     8.4353E-36
  283     5.6500E+00     2.0179E+00     8.2090E-36
  284     5.6700E+00     2.0250E+00     7.9889E-36
  285     5.6900E+00     2.0321E+00     7.7749E-36
  286     5.7100E+00     2.0393E+00     7.5668E-36
  287     5.7300E+00     2.0464E+00     7.3644E-36
  288     5.7500E+00     2.0536E+00     7.1676E-36
  289     5.7700E+00     2.0607E+00     6.9763E-36
  290     5.7900E+00     2.0679E+00     6.7902E-36
  291     5.8100E+00     2.0750E+00     6.6094E-36
  292     5.8300E+00     2.0821E+00     6.4335E-36
  293     5.8500E+00     2.0893E+00     6.2625E-36
  294     5.8700E+00     2.0964E+00     6.0963E-36
  295     5.8900E+00     2.1036E+00     5.9346E-36
  296     5.9100E+00     2.1107E+00     5.7775E-36
  297     5.9300E+00     2.1179E+00     5.6248E-36
  298     5.9500E+00     2.1250E+00     5.4763E-36
  299     5.9700E+00     2.1321E+00     5.3320E-36
  300     5.9900E+00     2.1393E+00     5.1918E-36
  301     6.0100E+00     2.1464E+00     5.0554E-36
  302     6.0300E+00     2.1536E+00     4.9229E-36
  303     6.0500E+00     2.1607E+00     4.7941E-36
  304     6.0700E+00     2.1679E+00     4.6689E-36
  305     6.0900E+00     2.1750E+00     4.5472E-36
  306     6.1100E+00     2.1821E+00     4.4289E-36
  307     6.1300E+00     2.1893E+00     4.3140E-36
  308     6.1500E+00     2.1964E+00     4.2023E-36
  309     6.1700E+00     2.2036E+00     4.0937E-36
  310     6.1900E+00     2.2107E+00     3.9882E-36
  311     6.2100E+00     2.2179E+00     3.8857E-36
  312     6.2300E+00     2.2250E+00     3.7861E-36
  313     6.2500E+00     2.2321E+00     3.6893E-36
  314     6.2700E+00     2.2393E+00     3.5953E-36
  315     6.2900E+00     2.2464E+00     3.5039E-36
  316     6.3100E+00     2.2536E+00     3.4150E-36
  317     6.3300E+00     2.2607E+00     3.3288E-36
  318     6.3500E+00     2.2679E+00     3.2449E-36
  319     6.3700E+00     2.2750E+00     3.1634E-36
  320     6.3900E+00     2.2821E+00     3.0843E-36
  321     6.4100E+00     2.2893E+00     3.0073E-36
  322     6.4300E+00     2.2964E+00     2.9326E-36
  323     6.4500E+00     2.3036E+00     2.8600E-36
  324     6.4700E+00     2.3107E+00     2.7894E-36
  325     6.4900E+00     2.3179E+00     2.7209E-36
  326     6.5100E+00     2.3250E+00     2.6543E-36
  327     6.5300E+00     2.3321E+00     2.5896E-36
  328     6.5500E+00     2.3393E+00     2.5267E-36
  329     6.5700E+00     2.3464E+00     2.4656E-36
  330     6.5900E+00     2.3536E+00     2.4063E-36
  331     6.6100E+00     2.3607E+00     2.3486E-36
  332     6.6300E+00     2.3679E+00     2.2926E-36
  333     6.6500E+00     2.3750E+00     2.2382E-36
  334     6.6700E+00     2.3821E+00     2.1853E-36
