# r [cMpc/h] : <T(r)>
0.278  0.343   0.477
0.750  0.475   0.550
1.243  0.535   0.581
1.735  0.612   0.648
2.210  0.670   0.709
2.742  0.656   0.685
3.236  0.679   0.701
3.712  0.731   0.749
4.260  0.743   0.763
4.721  0.723   0.749
5.234  0.731   0.745
5.712  0.740   0.756
6.171  0.762   0.782
6.720  0.740   0.758
7.216  0.749   0.771
7.694  0.742   0.762
8.207  0.749   0.763
8.703  0.723   0.743
9.233  0.749   0.769
9.712  0.740   0.756

