 # 1) i 2) r [pMpc] 3) Lya emissivity [erg/s/cm3, proper]
  146     1.0393E+00     3.1222E-34
  147     1.0464E+00     3.0417E-34
  148     1.0536E+00     2.9634E-34
  149     1.0607E+00     2.8872E-34
  150     1.0679E+00     2.8130E-34
  151     1.0750E+00     2.7408E-34
  152     1.0821E+00     2.6704E-34
  153     1.0893E+00     2.6020E-34
  154     1.0964E+00     2.5353E-34
  155     1.1036E+00     2.4704E-34
  156     1.1107E+00     2.4071E-34
  157     1.1179E+00     2.3455E-34
  158     1.1250E+00     2.2855E-34
  159     1.1321E+00     2.2271E-34
  160     1.1393E+00     2.1702E-34
  161     1.1464E+00     2.1148E-34
  162     1.1536E+00     2.0608E-34
  163     1.1607E+00     2.0081E-34
  164     1.1679E+00     1.9569E-34
  165     1.1750E+00     1.9069E-34
  166     1.1821E+00     1.8582E-34
  167     1.1893E+00     1.8108E-34
  168     1.1964E+00     1.7646E-34
  169     1.2036E+00     1.7196E-34
  170     1.2107E+00     1.6757E-34
  171     1.2179E+00     1.6329E-34
  172     1.2250E+00     1.5912E-34
  173     1.2321E+00     1.5506E-34
  174     1.2393E+00     1.5110E-34
  175     1.2464E+00     1.4724E-34
  176     1.2536E+00     1.4348E-34
  177     1.2607E+00     1.3981E-34
  178     1.2679E+00     1.3624E-34
  179     1.2750E+00     1.3276E-34
  180     1.2821E+00     1.2936E-34
  181     1.2893E+00     1.2605E-34
  182     1.2964E+00     1.2283E-34
  183     1.3036E+00     1.1968E-34
  184     1.3107E+00     1.1661E-34
  185     1.3179E+00     1.1363E-34
  186     1.3250E+00     1.1071E-34
  187     1.3321E+00     1.0787E-34
  188     1.3393E+00     1.0510E-34
  189     1.3464E+00     1.0240E-34
  190     1.3536E+00     9.9772E-35
  191     1.3607E+00     9.7207E-35
  192     1.3679E+00     9.4706E-35
  193     1.3750E+00     9.2269E-35
  194     1.3821E+00     8.9892E-35
  195     1.3893E+00     8.7575E-35
  196     1.3964E+00     8.5317E-35
  197     1.4036E+00     8.3115E-35
  198     1.4107E+00     8.0968E-35
  199     1.4179E+00     7.8876E-35
  200     1.4250E+00     7.6836E-35
  201     1.4321E+00     7.4848E-35
  202     1.4393E+00     7.2909E-35
  203     1.4464E+00     7.1020E-35
  204     1.4536E+00     6.9178E-35
  205     1.4607E+00     6.7382E-35
  206     1.4679E+00     6.5632E-35
  207     1.4750E+00     6.3926E-35
  208     1.4821E+00     6.2263E-35
  209     1.4893E+00     6.0641E-35
  210     1.4964E+00     5.9061E-35
  211     1.5036E+00     5.7521E-35
  212     1.5107E+00     5.6020E-35
  213     1.5179E+00     5.4557E-35
  214     1.5250E+00     5.3131E-35
  215     1.5321E+00     5.1741E-35
  216     1.5393E+00     5.0386E-35
  217     1.5464E+00     4.9066E-35
  218     1.5536E+00     4.7779E-35
  219     1.5607E+00     4.6525E-35
  220     1.5679E+00     4.5303E-35
